person_id,canonical_name_ar,canonical_name_en,kunya,nisba,known_as,birth_year_hijri,death_year_hijri,birth_year_ce,death_year_ce,era,region,roles,schools,teachers,students,works_count,authority_ids,wikidata_id,viaf_id,isni_id,openiti_person_id,biography_sources
openiti_person_1069IbnCammarShurunbulali,حسن بن عمار بن علي الشرنبلالي المصري الحنفي (المتوفى: 1069هـ),Ibn Cammar Shurunbulali,,,,,1069,,,OpenITI date code 1069,,"[""author""]",[],[],[],5,[],,,,1069IbnCammarShurunbulali,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1069MuhammadShawbari,محمد الشوبري,Muhammad Shawbari,,,,,1069,,,OpenITI date code 1069,,"[""author""]",[],[],[],1,[],,,,1069MuhammadShawbari,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1069ShihabDinKhafaji,شهاب الدين أحمد بن محمد بن عمر الخفاجي المصري الحنفي (المتوفى: 1069هـ),Shihab Din Khafaji,,,,,1069,,,OpenITI date code 1069,,"[""author""]",[],[],[],3,[],,,,1069ShihabDinKhafaji,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1069ShihabDinQalyubi,شهاب الدين أحمد بن أحمد بن سلامة القليوبي,Shihab Din Qalyubi,,,,,1069,,,OpenITI date code 1069,,"[""author""]",[],[],[],1,[],,,,1069ShihabDinQalyubi,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1070MuhammadKibrit,محمد كبريت الحسني,Muhammad Kibrit,,,,,1070,,,OpenITI date code 1070,,"[""author""]",[],[],[],3,[],,,,1070MuhammadKibrit,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1071FadilTuniKhurasani,الفاضل التوني,Fadil Tuni Khurasani,,,,,1071,,,OpenITI date code 1071,,"[""author""]",[],[],[],1,[],,,,1071FadilTuniKhurasani,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1071IbnFaqihFussaBacliDimashqi,عبد الباقي المواهبي الحنبلي,Ibn Faqih Fussa Bacli Dimashqi,,,,,1071,,,OpenITI date code 1071,,"[""author""]",[],[],[],1,[],,,,1071IbnFaqihFussaBacliDimashqi,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1072IbnAhmadMayyaraFasi,محمد بن أحمد ميارة المالكي,Ibn Ahmad Mayyara Fasi,,,,,1072,,,OpenITI date code 1072,,"[""author""]",[],[],[],2,[],,,,1072IbnAhmadMayyaraFasi,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1073CabdKarimFakun,,Cabd Karim Fakun,,,,,1073,,,OpenITI date code 1073,,"[""author""]",[],[],[],1,[],,,,1073CabdKarimFakun,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1073YusufBadiciDimashqi,يوسف البديعي الدمشقي (المتوفى : 1073هـ),Yusuf Badici Dimashqi,,,,,1073,,,OpenITI date code 1073,,"[""author""]",[],[],[],1,[],,,,1073YusufBadiciDimashqi,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1077CinayatKhan,عنايت خان,Cinayat Khan,,,ʿInāyat Ḫān,,1077,,,OpenITI date code 1077,,"[""author""]",[],[],[],1,[],,,,1077CinayatKhan,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
openiti_person_1077Jurmuzi,,Jurmuzi,,,,,1077,,,OpenITI date code 1077,,"[""author""]",[],[],[],3,[],,,,1077Jurmuzi,"[""https://kitab-corpus-metadata.azurewebsites.net/""]"
