person_id,canonical_name_ar,canonical_name_en,kunya,nisba,known_as,birth_year_hijri,death_year_hijri,birth_year_ce,death_year_ce,era,region,roles,schools,teachers,students,works_count,authority_ids,wikidata_id,viaf_id,isni_id,openiti_person_id,biography_sources
0132HammamIbnMunabbih,همام بن منبه,Hammam Ibn Munabbih,NULL,NULL,NULL,NULL,0132,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0132HammamIbnMunabbih,OpenITI 2025.1.9
0139IbnMuqaffac,ابن المقفع,Ibn Muqaffac,NULL,NULL,NULL,NULL,0139,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,0139IbnMuqaffac,OpenITI 2025.1.9
0141MusaIbnCuqba,موسى بن عقبة بن أبي عياش الأسدي بالولاء، أبو محمد، مولى آل الزبير (المتوفى: 141هـ),Musa Ibn Cuqba,NULL,NULL,NULL,NULL,0141,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0141MusaIbnCuqba,OpenITI 2025.1.9
0145MufaddalIbnCumarJucfi,المفضل بن عمر الجعفي,Mufaddal Ibn Cumar Jucfi,NULL,NULL,al-Mufaḍḍal b. ʿUmar al-Juʿfī,NULL,0145,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0145MufaddalIbnCumarJucfi,OpenITI 2025.1.9
0146MujacaIbnZubayr,مجاعة بن الزبير البصري (المتوفى: 146هـ),Mujaca Ibn Zubayr,NULL,NULL,NULL,NULL,0146,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0146MujacaIbnZubayr,OpenITI 2025.1.9
0148AbuHamzaThumali,أبو حمزة الثمالي,Abu Hamza Thumali,NULL,NULL,NULL,NULL,0148,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0148AbuHamzaThumali,OpenITI 2025.1.9
0148JacfarSadiq,المنسوب للإمام الصادق (ع),Jacfar Sadiq,NULL,NULL,NULL,NULL,0148,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0148JacfarSadiq,OpenITI 2025.1.9
0150AbuHanifa,أبو حنيفة,Abu Hanifa,NULL,NULL,Abū Ḥanīfaŧ,NULL,0150,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,0150AbuHanifa,OpenITI 2025.1.9
0150IbnJurayj,أبو الوليد و أبو خالد عبد الملك بن عبد العزيز بن جريج القرشي الأموي المكي (المتوفى : 150هـ),Ibn Jurayj,NULL,NULL,NULL,NULL,0150,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0150IbnJurayj,OpenITI 2025.1.9
0150MuqatilIbnSulayman,أبو الحسن مقاتل بن سليمان بن بشير الأزدي بالولاء البلخي,Muqatil Ibn Sulayman,NULL,NULL,NULL,NULL,0150,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0150MuqatilIbnSulayman,OpenITI 2025.1.9
0150SalihIbnJinahLakhmi,صالح بن جناح,Salih Ibn Jinah Lakhmi,NULL,NULL,NULL,NULL,0150,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0150SalihIbnJinahLakhmi,OpenITI 2025.1.9
0151IbnIshaq,ابن اسحاق,Ibn Ishaq,NULL,NULL,åbn Isḥāq,NULL,0151,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0151IbnIshaq,OpenITI 2025.1.9
0151MacmarIbnRashid,معمر بن راشد الأزدي,Macmar Ibn Rashid,NULL,NULL,NULL,NULL,0151,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0151MacmarIbnRashid,OpenITI 2025.1.9
0156IbnAbiCuruba,أبو النضر سعيد بن أبي عروبة: مهران العدوي ـ ولاء ـ البصري (المتوفى : 156هـ),Ibn Abi Curuba,NULL,NULL,NULL,NULL,0156,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0156IbnAbiCuruba,OpenITI 2025.1.9
0157AbuMikhnafAzdi,أبو مخنف الأزدي,Abu Mikhnaf Azdi,NULL,NULL,NULL,NULL,0157,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,0157AbuMikhnafAzdi,OpenITI 2025.1.9
0161SufyanThawri,سفيان الثوري,Sufyan Thawri,NULL,NULL,Sufyān al-Ṯawrī,NULL,0161,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,0161SufyanThawri,OpenITI 2025.1.9
0164MajishunMadani,أبو عبد الله، وأبو الأصبغ الماجشون عبد العزيز بن عبد الله التيمي ابن أبي سلمة ميمون - وقيل: دينار - التيمي مولاهم، المدني (المتوفى: 164هـ),Majishun Madani,NULL,NULL,NULL,NULL,0164,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0164MajishunMadani,OpenITI 2025.1.9
0167BashsharIbnBurdShacir,بشار بن برد,Bashshar Ibn Burd Shacir,NULL,NULL,NULL,NULL,0167,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0167BashsharIbnBurdShacir,OpenITI 2025.1.9
0167SariIbnYahyaBasri,السرى بن يحيى بن إياس بن حرملة بن إياس الشيبانى المحلمى، أبو الهيثم، ويقال أبو يحيى، البصرى (المتوفى: 167هـ),Sari Ibn Yahya Basri,NULL,NULL,NULL,NULL,0167,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0167SariIbnYahyaBasri,OpenITI 2025.1.9
0168IbnTahman,ابن طهمان,Ibn Tahman,NULL,NULL,NULL,NULL,0168,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0168IbnTahman,OpenITI 2025.1.9
0168MufaddalDabbi,المفضل بن محمد بن يعلى بن سالم الضبي (المتوفى : نحو 168هـ),Mufaddal Dabbi,NULL,NULL,NULL,NULL,0168,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,0168MufaddalDabbi,OpenITI 2025.1.9
0170AbuZaydQurashi,أبو زيد القرشي,Abu Zayd Qurashi,NULL,NULL,NULL,NULL,0170,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0170AbuZaydQurashi,OpenITI 2025.1.9
0170KhalilFarahidi,خليل الفراهيدي,Khalil Farahidi,NULL,NULL,Ḫalīl al-Farāhīdī,NULL,0170,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,0170KhalilFarahidi,OpenITI 2025.1.9
0170RabicIbnHabibAzdi,الربيع بن حبيب بن عمر الأزدي البصري (المتوفى حوالي سنة: 170ه),Rabic Ibn Habib Azdi,NULL,NULL,NULL,NULL,0170,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0170RabicIbnHabibAzdi,OpenITI 2025.1.9
0173SayyidHimyari,"إسماعيل بن محمد بن يزيد بن ربيعة بن مفرع الحميري. لقبه "" السيد "" وكنيته "" أبو هاشم "" وجده "" يزيد بن ربيعة """,Sayyid Himyari,NULL,NULL,NULL,NULL,0173,NULL,NULL,NULL,NULL,author,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,0173SayyidHimyari,OpenITI 2025.1.9
