work_id,canonical_title_ar,canonical_title_en,alternate_titles,author_id,author_name_ar,author_name_en,author_death_hijri,category_primary,category_secondary,subjects,era,language_original,description_short,work_status,bibliographic_source,bibliographic_source_url
0080LaylaAkhyaliyya.Diwan,ديوان ليلى الأخيلية,Diwan,NULL,0080LaylaAkhyaliyya,ليلى الأخيلية,Layla Akhyaliyya,0080,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0080UqayshirAsadi.Diwan,ديوان الأقيشر السعدي,Diwan,NULL,0080UqayshirAsadi,الأقيشر السعدي,Uqayshir Asadi,0080,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0082JamilButhayna.Diwan,ديوان جميل بثينة,Diwan,NULL,0082JamilButhayna,جميل بثينة,Jamil Buthayna,0082,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0085SulaymIbnQaysHilali.KitabSulaym,كتاب سليم بن قيس,Kitab Sulaym,NULL,0085SulaymIbnQaysHilali,تحقيق محمد باقر الأنصاري,Sulaym Ibn Qays Hilali,0085,C-الحديث النبوي,الحديث,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0090AkhtalShacir.Diwan,ديوان الأخطل,Diwan,NULL,0090AkhtalShacir,الأخطل,Akhtal Shacir,0090,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0090RaciNumayriShacir.Diwan,ديوان الراعي النميري,Diwan,NULL,0090RaciNumayriShacir,الراعي النميري,Raci Numayri Shacir,0090,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0090WaddahYaman.Diwan,ديوان وضاح اليمن,Diwan,NULL,0090WaddahYaman,وضاح اليمن,Waddah Yaman,0090,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0093IbnAbiRabica.Diwan,ديوان عمر ابن أبي ربيعة,Diwan,NULL,0093IbnAbiRabica,عمر ابن أبي ربيعة,Ibn Abi Rabica,0093,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0095CadiIbnRiqac.Diwan,ديوان عدي بن الرقاع,Diwan,NULL,0095CadiIbnRiqac,عدي بن الرقاع,Cadi Ibn Riqac,0095,UNCLASSIFIED_OPENITI,غير مصنف,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
0104MujahidIbnJabr.Tafsir,تفسير مجاهد,Tafsir,NULL,0104MujahidIbnJabr,مجاهد,Mujahid Ibn Jabr,0104,B-التفسير,التفسير,NULL,NULL,ara,NULL,OPENITI,OpenITI 2025.1.9,https://kitab-project.org/metadata
