duplicate_group_id,work_id,reason,digital_version_ids,count
openiti:0156IbnAbiCuruba.Manasik,0156IbnAbiCuruba.Manasik,Multiple OpenITI digital versions of one work,0156IbnAbiCuruba.Manasik.JK011437-ara1 | 0156IbnAbiCuruba.Manasik.Shamela0009811-ara1,2
openiti:0161SufyanThawri.Faraid,0161SufyanThawri.Faraid,Multiple OpenITI digital versions of one work,0161SufyanThawri.Faraid.Shamela0026488-ara1 | 0161SufyanThawri.Faraid.Shia001879-ara1,2
openiti:0161SufyanThawri.Tafsir,0161SufyanThawri.Tafsir,Multiple OpenITI digital versions of one work,0161SufyanThawri.Tafsir.JK000457-ara1 | 0161SufyanThawri.Tafsir.Shamela0002229-ara1 | 0161SufyanThawri.Tafsir.Shia002462-ara1 | 0161SufyanThawri.Tafsir.Tafsir02099-ara1,4
openiti:0167BashsharIbnBurdShacir.Diwan,0167BashsharIbnBurdShacir.Diwan,Multiple OpenITI digital versions of one work,0167BashsharIbnBurdShacir.Diwan.JK007613-ara1 | 0167BashsharIbnBurdShacir.Diwan.ShamAY0037930-ara1,2
openiti:0168IbnTahman.Mashyakha,0168IbnTahman.Mashyakha,Multiple OpenITI digital versions of one work,0168IbnTahman.Mashyakha.JK000625-ara1 | 0168IbnTahman.Mashyakha.Shamela0024831-ara1,2
openiti:0168MufaddalDabbi.AmthalCarab,0168MufaddalDabbi.AmthalCarab,Multiple OpenITI digital versions of one work,0168MufaddalDabbi.AmthalCarab.JK011034-ara1 | 0168MufaddalDabbi.AmthalCarab.Shamela0001034-ara1 | 0168MufaddalDabbi.AmthalCarab.Shamela0009081-ara2,3
openiti:0168MufaddalDabbi.Mufaddaliyyat,0168MufaddalDabbi.Mufaddaliyyat,Multiple OpenITI digital versions of one work,0168MufaddalDabbi.Mufaddaliyyat.JK006911-ara1 | 0168MufaddalDabbi.Mufaddaliyyat.Shamela0006904-ara1,2
openiti:0170AbuZaydQurashi.JamharatAshcarCarab,0170AbuZaydQurashi.JamharatAshcarCarab,Multiple OpenITI digital versions of one work,0170AbuZaydQurashi.JamharatAshcarCarab.JK006912-ara1 | 0170AbuZaydQurashi.JamharatAshcarCarab.Shamela0001487-ara1,2
openiti:0170KhalilFarahidi.Cayn,0170KhalilFarahidi.Cayn,Multiple OpenITI digital versions of one work,0170KhalilFarahidi.Cayn.JK000930-ara1 | 0170KhalilFarahidi.Cayn.ShamIbadiyya0000225-ara1 | 0170KhalilFarahidi.Cayn.Shamela0001682-ara1 | 0170KhalilFarahidi.Cayn.Shia003887Vols-ara1,4
openiti:0170KhalilFarahidi.JumalFiNahw,0170KhalilFarahidi.JumalFiNahw,Multiple OpenITI digital versions of one work,0170KhalilFarahidi.JumalFiNahw.JK001109-ara1 | 0170KhalilFarahidi.JumalFiNahw.ShamAY0034704-ara1 | 0170KhalilFarahidi.JumalFiNahw.Shamela0006961-ara1,3
openiti:0175LaythIbnSacd.Cawali,0175LaythIbnSacd.Cawali,Multiple OpenITI digital versions of one work,0175LaythIbnSacd.Cawali.JK000492-ara1 | 0175LaythIbnSacd.Cawali.Shamela0005676-ara1,2
